identifier	model	data_scope	tokenizer	context	parameters	objective	architecture	training_compute	split_or_leakage_control	key_evidence	limitation	primary_source
10.1038/s41592-021-01252-x	Enformer	human and mouse; 5,313 human and 1,643 mouse functional tracks	one-hot single nucleotide	196,608 bp input; 114,688 bp output at 128-bp bins	not stated in extracted text	supervised Poisson negative log-likelihood	7 convolution/pooling blocks plus 11 transformer blocks; 1,536 channels; relative position encoding	64 TPU v3 cores; batch 64; 150,000 steps; about 3 days	1-Mb human-mouse syntenic connected components kept in the same train/validation/test partition	long-range context improved CAGE correlation and enhancer-promoter modeling	assay/cell-type scope is limited to supervised training labels; costly full-context model	Nature Methods full text, Methods
10.1038/s41592-024-02523-z	Nucleotide Transformer	3,202 human genomes or 850 diverse RefSeq species; multispecies set totals 174 billion nt and explicitly excludes plants and viruses	greedy non-overlapping 6-mer; vocabulary 4,104	6 kb v1; 12 kb v2	50M to 2.5B	BERT MLM; 15% selected tokens, later 20% for v2	encoder-only Transformer; learned positions v1, rotary positions and SwiGLU v2	2.5B: 128 A100 GPUs for 28 days; v2 models: one 8-A100 node for one day	downstream tenfold CV; no plant pretraining; published benchmark notes possible Enformer split leakage	multispecies diversity often helps more than size; 50M v2 can match a much larger model	6-mer loses direct base alignment; full benchmark compute is far beyond one A100	Nature Methods full text, Results and Methods
10.1038/s42003-024-06465-2	AgroNT	48 edible plant reference genomes; 10.5 million 6-kb sequences	6-mer	1,000 tokens, approximately 6 kb	1 billion	RoBERTa MLM; 15% masked tokens	RoBERTa encoder	8 A100 GPUs; bfloat16; batch 80; 100,000 steps; about 8 days	article reports held-out downstream test sets; no leave-genus-out pretraining evaluation extracted	plant-specific pretraining improves regulatory and annotation tasks versus generic DNA models	large compute, 6-kb ceiling and no explicit RC-equivariant architecture	Communications Biology full text, Results and Methods
10.1073/pnas.2311219120	GPN	seven Brassicales genomes for multispecies model; Arabidopsis thaliana excluded from pretraining	one token per nucleotide	512 bp	25 million	15% single-nucleotide MLM	convolutional network with 30 dilated residual layers and 512 hidden units	one A100 GPU; about 4 days per model; five seeds	entire target A. thaliana species held out; equal windows sampled per training genome	strong zero-shot plant variant-effect and genome-wide constraint signal with modest compute	short context; Brassicales-specific; zero-shot scores do not replace leakage-safe downstream tests	PNAS full text, Methods
10.1186/s13059-024-03221-x	Species-aware DNA LM	806 fungal species; more than 10 million 5-prime and 3-prime noncoding sequences	overlapping 6-mer plus learned species token	1,000 nt upstream or 300 nt downstream	about 90 million	DNABERT MLM; mask ratio 15% then 20%	12-layer DNABERT encoder with FlashAttention	batch 2,048; 200,000 steps	the entire Saccharomyces genus held out; unseen species uses a related proxy species token	species conditioning improves motif reconstruction and downstream linear probes at almost no token cost	short context; proxy token needed for unseen taxa; fungal regulatory regime differs from long-range plant regulation	Genome Biology full text, Results and Methods
10.1073/pnas.2421738122	PlantCaduceus	16 angiosperm genomes; 60.8 billion non-N bases	one token per nucleotide	512 bp	225 million	bidirectional causal language modeling with both DNA directions	MambaDNA/Caduceus-style bidirectional state-space model with reverse-complement equivariance	8 H100 GPUs; 750 billion tokens; about 25 days	cross-species evaluations; pretraining diversity analyzed; identity-aware task controls reported	single-base and exact RC symmetry improve plant sequence modeling and variant prediction	512-bp context and training cost; cannot directly model distal plant regulation	PNAS full text, Results and Methods
10.1038/s41586-026-10176-5	Evo 2	OpenGenome2 across all domains; more than 8.8 trillion nucleotides; 2.4T or 9.3T training tokens	one token per nucleotide	8,192-base pretraining then staged extension to 1 million bases	7B and 40B	autoregressive next-nucleotide modeling	StripedHyena 2 multi-hybrid short, medium and long convolution operators plus attention	paper reports 1,024-GPU scale throughput comparisons; exact total device-days not extracted	eukaryotic viruses excluded for biosafety; broad held-out evaluations	proves staged context extension and multi-scale operators can reach 1 Mb at single-base resolution	orders of magnitude beyond available compute; broad-domain scale is not a feasible project target	Nature full text, Results and Methods
10.1038/s41588-024-02053-6	Borzoi	human and mouse RNA-seq plus CAGE, DNase, ATAC and ChIP tracks	one-hot single nucleotide	524,288 bp; predictions at 32-bp bins	not stated for full model in extracted text	supervised multi-track coverage prediction	Enformer-like convolution and 8 self-attention blocks at 128 bp plus U-Net upsampling to 32 bp	full model uses two 40-GB A100 GPUs, batch 2, about 25 days; one sequence fills 40 GB	orthologous human-mouse regions assigned together across eight partitions	long input and finer output support RNA-seq, splicing and variant interpretation	full model is at the single-A100 memory limit and training exceeds available budget	Nature Genetics full text, Results and Methods
10.1038/s41586-025-10014-0	AlphaGenome	human and mouse; 5,930 human and 1,128 mouse tracks across 11 modalities	one-hot single nucleotide	1 Mb input; outputs up to 1-bp resolution	not publicly stated in extracted text	supervised multimodal track prediction followed by teacher-student distillation	U-Net encoder-transformer-decoder; 1-bp, 128-bp and 2,048-bp representations; sequence parallelism	1-Mb training spans eight interconnected TPU v3 devices per sequence; total training budget not stated	four genomic folds for fold-specific test; all-fold teachers only for distilled variant model	long context and base resolution jointly improve diverse sequence-to-function tasks	not a self-supervised crop model; human/mouse only; inaccessible compute scale	Nature full text, Results and Methods
10.1038/s41467-025-65823-8	DNA foundation benchmark	57 datasets across human and multispecies region, epigenetic, expression, variant and TAD tasks	model-dependent	64 to 524,288 nt depending on model	model-dependent	frozen embeddings plus downstream random forest or other probes	compares DNABERT-2, GROVER, NT-v2, HyenaDNA and Caduceus	inference runtime measured on one A100	chromosome-nested CV only for QTLs; many classification sets use random 70:30 splits because chromosome metadata are absent	multispecies Hyena pretraining improves 14 of 49 tasks; Caduceus is robust; simple CNN often beats frozen FMs	many random splits can overstate genomic generalization; frozen-vs-trained CNN is not fully symmetric	Nature Communications full text, Results and Methods
10.1038/s41587-024-02511-w	GPN-MSA	multispecies alignment for genome-wide human variant prediction	not extracted	not extracted	not extracted	likelihood-based variant scoring with alignment-informed pretraining	not extracted	not extracted	formal alignment and variant benchmarks; details require subscription full text	alignment-informed model is a strong variant-effect comparator	brief communication; detailed architecture not extracted from open full text	Nature Biotechnology verified metadata and abstract
10.52202/075280-1872	HyenaDNA	human reference genome	one token per nucleotide	up to 1 million nucleotides	not extracted in this audit	autoregressive next-nucleotide modeling	implicit long-convolution Hyena operator	not extracted	published downstream splits must be re-audited before comparison	demonstrates subquadratic long-context DNA modeling at single-base resolution	human-only pretraining and no explicit RC equivariance	NeurIPS proceedings DOI and paper
https://proceedings.mlr.press/v235/schiff24a.html	Caduceus	human reference genome in released pretrained variants	one token per nucleotide	long-context variants up to 131 kb	not extracted in this audit	bidirectional DNA language modeling	Mamba-based bidirectional model with RC parameter sharing/equivariance	not extracted	published downstream splits must be re-audited before comparison	combines efficient state-space sequence modeling with exact RC treatment	not plant-specific; external task overlap requires leakage audit	ICML PMLR official paper page
10.1002/advs.75772	PlantGFM	plant genomes; detailed corpus not extracted from accessible metadata	not extracted	not extracted	not extracted	genomic foundation pretraining	reported multiscale integration; details not extracted	not extracted	not extracted	current plant-specific comparator for discovery and generation	very recent paper; architecture and benchmark claims require full-text/code audit before use	Advanced Science verified DOI metadata
